Tree	x	y	dbh	species	height
611	87.6902	53.9661	26.5	16	0
612	87.0743	47.1248	37	16	0
613	92.8141	20.6665	50.7	16	0
614	92.3842	9.8393	5	16	0
615	84.3599	21.5059	77.7	16	0
616	73.091	85.7531	60.9	16	0
617	71.2705	47.0883	23.9	16	0
618	73.6812	40.0947	32.1	16	0
619	75.0032	26.1034	35	16	0
620	74.3881	24.4357	15.8	16	0
621	73.1185	5.5128	8.8	16	0
622	58.2152	77.6586	64.6	16	0
623	66.9999	39.5896	33.1	16	0
624	65.6887	52.779	9.3	16	0
625	65.9464	89.7942	43.3	16	0
626	63.3845	52.1677	19.4	16	0
627	60.0377	32.9505	27.4	16	0
628	60.2304	21.7377	17.2	16	0
629	58.6677	16.8955	19.6	16	0
630	40.649	79.7959	62.2	16	0
631	39.2108	76.2212	61.9	16	0
632	49.3821	7.9742	10.2	16	0
633	50.2417	15.0178	71.4	16	0
634	43.2974	24.4454	64.5	16	0
635	44.9107	35.7897	19.3	16	0
636	33.6274	51.1006	26.4	16	0
637	37.1661	63.6735	15.5	16	0
638	33.0531	73.0041	18.8	16	0
639	25.8722	69.7598	14.3	16	0
640	32.7512	67.4238	13.2	16	0
641	31.0641	13.6582	21.2	16	0
642	31.3244	13.5212	10.2	16	0
643	22.9045	72.4222	9.4	16	0
644	10.8064	13.1453	43.2	16	0
645	11.2169	8.4202	55.3	16	0
646	62.9294	48.9649	7.2	16	0
647	98.0188	85.7338	6.3	16	0
648	47.2575	95.8413	11.4	16	0
649	31.4962	79.8634	14.7	16	0
650	31.9988	82.8698	28.5	16	0
651	30.9526	77.6636	13.7	16	0
652	14.6677	92.121	53.2	16	0
653	39.19483021	94.30963963	25.1	16	0
654	64.26125133	25.83242136	65	16	0
655	74.0732	16.1416	9.2	17	0
656	85.9556	50.896	35.3	18	0
657	93.0596	31.3314	29.7	18	0
658	93.3487	19.318	30.9	18	0
659	88.2429	23.2037	33.6	18	0
660	86.3719	25.855	14	18	0
661	88.239	36.5516	42.2	18	0
662	88.8356	40.4978	30.2	18	0
663	80.7354	48.4709	37.6	18	0
664	74.119	48.9411	8.9	18	0
665	73.0471	44.9416	34.5	18	0
666	75.1738	45.8355	15.2	18	0
667	77.4684	4.0509	27.6	18	0
668	65.6925	17.9185	33.8	18	0
669	71.2716	34.5014	16.5	18	0
670	66.8447	34.5307	29.9	18	0
671	71.2335	86.0401	5.7	18	0
672	56.6706	81.4256	34	18	0
673	67.8302	27.0961	38.1	18	0
674	57.2013	53.2113	9.6	18	0
675	59.8997	43.6442	16.4	18	0
676	62.1907	43.3427	38.8	18	0
677	60.7842	10.6451	36.7	18	0
678	58.9154	16.5368	28	18	0
679	60.0782	17.2698	18.8	18	0
680	56.961	40.3854	14.6	18	0
681	48.2431	55.4708	37	18	0
682	51.6717	76.722	28.7	18	0
683	50.9717	80.8761	25	18	0
684	51.1844	24.8282	20	18	0
685	56.6709	3.5878	14.8	18	0
686	56.9122	2.2987	9.3	18	0
687	24.6827	26.3024	29.7	18	0
688	20.0094	72.4892	9.3	18	0
689	13.7784	52.4835	8.8	18	0
690	13.324	42.3289	29.5	18	0
691	15.2798	38.5822	38	18	0
692	17.8216	25.9178	22.1	18	0
693	12.8114	4.2787	25.3	18	0
694	0.7498	13.7343	15.3	18	0
695	74.6256	95.3903	34.5	18	0
696	52.7301	93.408	25.8	18	0
697	42.0725	87.1854	17.3	18	0
698	12.4841	75.2682	35.2	18	0
699	55.409	99.5305	21.9	18	0
700	2.5343	86.6432	40.4	18	0
701	5.4549	66.1474	5.2	18	0
702	10.41510726	78.08366112	9.4	18	0
703	97.5699	19.9871	25.2	19	0
704	95.1088	49.7657	7.6	19	0
705	98.2163	78.701	7.6	19	0
706	98.7326	86.153	7.3	19	0
707	97.8401	87.9621	6.5	19	0
708	99.7045	93.0189	26.8	19	0
