treeno,species,x,y,dbh,ht,cw
338,9,68.175,25.06,9.3,9.1,27.9
339,12,64.278,24.399,16.5,12.2,29.3
340,2,62.742,23.733,10.5,9.2,26.5
341,2,62.109,25.981,6.5,6.4,25.3
342,13,62.043,27.116,37.1,20.6,36.7
343,6,61.484,28.638,41.4,21.2,38.2
344,12,68.59,29.573,16.6,12.2,31.8
345,2,69.352,29.527,5.8,5.9,27.6
346,1,70,27.191,9.3,8.4,28.7
347,9,73.289,24.426,8.3,8.5,28.6
348,9,73.069,24.74,9.4,9.2,29.1
349,12,76.07,23.299,14.2,11.3,31.2
350,2,76.195,24.012,7.5,7.2,28.7
351,2,75.358,25.798,7.2,7,28.8
352,12,78.479,25.576,22.3,13.9,35.1
353,2,79.592,25.607,6.8,6.7,29.7
354,2,78.32,28.741,11.4,9.8,32.1
355,2,77.177,28.052,9.5,8.6,30.8
356,12,76.673,29.091,23.5,14.2,35.9
357,2,75.303,28.678,10.2,9,30.8
358,2,81.24,27.93,7.8,7.4,31.1
359,4,81.757,28.314,17.6,15.4,35.8
360,2,82.518,28.101,6.3,6.3,30.8
361,2,83.302,26.695,10.2,9,32.3
362,2,82.491,25.708,5.5,5.7,29.8
363,6,81.899,24.663,11.5,12.2,32.6
364,12,81.611,23.192,15,11.6,32.9
365,2,85.222,22.043,8,7.5,30.7
366,2,84.512,23.437,5,5.3,29.6
367,12,85.721,24.304,3.8,4.6,29.6
368,6,83.158,23.485,10.2,11.3,32
369,9,88.108,21.848,8.6,8.7,31.8
370,6,90,21.803,13.8,13.5,34.8
371,2,88.441,22.687,13.8,11.2,34
372,9,89.232,25.043,5.7,6.5,31.6
373,2,88.329,25.925,5.8,5.9,31.5
374,9,85.892,28.698,10,9.5,33.5
375,2,89.9,30,8,7.5,33.9
376,2,90.904,27.845,4.7,5.1,32.1
377,2,92.325,28.71,2.9,3.6,31.9
378,12,92.543,29.058,18.9,13,38.4
379,12,92.458,29.489,10.1,9.3,35.3
380,6,94.107,29.03,50.9,22.4,49.1
381,12,93.893,28.093,7.2,7.5,34.2
382,2,93.094,27.391,5.2,5.4,32.8
383,2,92.177,26.072,2.5,3.2,31
384,2,92.123,26.139,5,5.3,32.1
385,12,92.026,25.646,22.8,14.1,38.6
386,2,90.1,23.895,4.5,4.9,30.8
387,2,90.649,20.663,6.7,6.6,31.2
388,9,91.99,21.763,7.5,7.9,32.3
389,12,94.177,20.641,5.2,5.9,31.5
390,2,95.288,21.393,5.1,5.4,31.8
391,9,98.761,20.333,4.9,5.9,32.5
392,9,98.974,22.151,2.7,3.7,31.9
393,9,98.557,23.734,4.3,5.3,33
394,2,97.726,22.782,5.4,5.6,32.9
395,12,96.063,23.394,3.6,4.4,31.9
396,2,95.742,23.682,10.5,9.2,34.8
397,12,97.077,24.85,17.3,12.5,37.9
398,2,96.647,25.503,4.9,5.2,33.1
399,9,98.86,23.991,4.2,5.2,33.1
400,9,98.625,23.79,5.5,6.4,33.6
401,9,98.474,23.991,1.4,2.1,31.5
402,9,99.511,24.408,1.2,1.8,31.7
403,2,99.316,25.579,4.4,4.8,33.5
404,2,98.788,27.376,3.1,3.7,33.2
405,2,96.102,27.79,5.9,6,33.9
406,12,98.353,30,11.2,9.9,37.4
407,2,98.259,31.662,12.5,10.5,38.2
408,2,95.206,30.334,5.6,5.8,34.2
