Number	x	y	dbh	species	height
97	25.1769	15.6444	21.3	12	14.8
137	13.6204	11.611	23.6	12	13.6
139	9.937	13.8818	21.2	12	12.8
149	18.3316 	19.8405 	18.8	12	11.1
159	17.4453 	25.6013 	11.3	12	10.4
269	52.2933	33.5274	6.8	12	5.6
327	26.1896	40.6268	19.3	12	14.1
396	22.1279	41.6341	20.2	12	13.4
397	23.5788	44.6218	12.8	12	11.7
398	24.2448	44.4762	8	12	6.4
402	28.4277	48.0958	7.1	12	8.7
475	6.2722	47.8947	5.7	12	5.6
12	50.0829	6.6795	13.1	13	11.2
48	45.5858 	13.9699 	9	14	9.8
49	45.492	13.568	10.6	14	10.6
50	45.4982	13.4824	6.2	14	10.8
16	55.2216 	12.2229 	19.9	15	12.2
23	62.4184 	4.0368 	8.5	15	10.7
205	51.9584 	24.0142 	12.5	15	11.3
206	51.9652 	23.9376 	6.5	15	11.3
207	52.0003 	23.8727 	13.5	15	11.3
208	52.1127 	24.0028 	17	15	11.3
209	52.6302 	23.6568 	8.7	15	10.9
2	35.4995	1.7125	14.7	16	11.2
8	44.4746 	4.9969 	16.3	16	10.7
11	48.1847	0.3904	16.9	16	11.8
28	57.7997	6.7468	14.5	16	11.1
29	57.9345	6.4366	17.2	16	11.3
34	60.3106 	12.5219 	16.8	16	11.7
40	55.3277 	13.7406 	20.2	16	11.8
41	55.2215	13.5852	5.9	16	9.9
47	42.5849 	12.4338 	10.6	16	11.7
52	41.9740 	12.5871 	10.1	16	11.6
54	44.6069 	8.1354 	5.2	16	7.2
55	44.4816 	7.9433 	15.2	16	10.9
56	44.5702	7.7671	10	16	9.8
63	27.2638	7.153	11.3	16	11.4
66	27.8353	3.3764	8.6	16	10.7
98	24.7317	16.2727	14.5	16	10.2
99	24.8495	16.4892	5.1	16	10.2
120	3.7391	1.6141	9.3	16	10.6
121	3.2349	2.0232	8.5	16	11
128	8.2157	5.0642	7.5	16	10.8
191	44.0723 	16.2595 	17.7	16	11.4
210	58.9307 	23.2580 	20.7	16	12.1
211	59.2774 	23.2138 	6.8	16	7
212	59.2892 	23.3200 	8.5	16	11.2
226	56.3004 	29.3253 	14.1	16	11.7
227	56.1202	29.5273	6.1	16	7.2
249	33.7241	30.1519	13.5	16	11.4
253	41.9189	28.3841	6.8	16	6.7
254	41.6698	28.9331	5.2	16	8.4
297	47.6468	41.3714	11	16	10.2
318	22.2321	32.9539	7.8	16	7.8
319	22.1239	32.9485	8.2	16	8.1
373	55.8511	48.8885	13.5	16	10.6
374	55.7078	48.761	4.9	16	9.1
446	3.0627	14.1198	10	16	9.7
447	3.1892	14.3358	5.9	16	7.1
88	27.0852	15.7649	17.1	17	12.2
96	26.3471	16.6242	14.5	17	11.8
179	35.2784 	20.6300 	8.4	17	11.6
216	60.5503 	23.0350 	13	17	12.6
111	19.828	12.2026	4.8	18	10.2
194	40.4414 	18.3883 	6.1	18	8.7
340	36.2817	41.1822	17	18	10.6
45	47.6767 	12.1142 	19.3	19	12.3
371	56.6752	49.6962	12.1	19	10.6
9	46.0236	2.3708	30.2	20	13.8
20	55.0825	1.0338	53.2	20	14.9
22	60.5626 	3.6426 	25.9	20	12.7
57	41.1858	8.5535	36	20	13.8
68	25.5685 	1.8282 	25.3	20	14.7
78	21.1658	4.9971	17.5	20	12.8
79	22.434	5.7826	21.9	20	13.6
80	20.6688	7.3933	19.9	20	12.7
81	20.0538	7.4005	30.6	20	14.6
83	23.0839	9.8927	19.4	20	14.8
92	27.2533	19.9338	19.5	20	13.7
101	21.9559	18.864	31.3	20	14.2
104	19.6414	16.1926	11.1	20	11.8
108	15.9355	15.3371	28.9	20	14.4
109	17.1442	14.3361	13	20	11.6
110	17.3991	14.1308	15.5	20	12.1
117	10.9243	3.8219	21.5	20	12.8
122	3.4222	5.4739	29.3	20	15.3
123	3.8347	5.3941	22.6	20	15.4
131	8.6499 	7.3926 	19.5	20	13.7
132	9.785	7.1136	24.5	20	13.8
133	11.8	8.3769	12	20	10.6
138	15.2107	9.7366	9.5	20	12.3
140	8.3339	14.2877	25.2	20	13.2
141	7.6691	14.5768	16.3	20	12.6
142	7.9776	16.4448	28.2	20	13.9
143	8.1639	16.5844	24.5	20	12.9
145	11.6299	17.3061	18.1	20	13.6
146	13.2651 	17.3740 	22.9	20	13.4
150	18.0894 	20.7143 	21.6	20	13.7
151	15.4605 	22.0950 	27.7	20	12.9
154	17.6819 	22.9850 	27.6	20	13.8
155	15.3900 	25.9048 	24.8	20	14.2
156	15.6512 	26.0169 	12.8	20	10.4
