Number	x	y	dbh    species	ht
401	63.817	31.248	8.4 	31	0
402	67.8392	40.6239	6.5 	31	0
403	67.5776	41.7131	6.2 	31	0
404	62.4101	47.0787	9.6 	31	0
405	62.3877	47.2102	6.2 	31	0
406	26.485	48.6586	7.9 	31	0
407	28.5158	64.5869	9.6 	31	0
408	43.2158	68.4073	10.1 	31	0
409	50.7915	60.0616	5.1 	31	0
410	58.969	62.9339	9.9 	31	0
411	17.4836	7.9348	6.2 	32	0
412	61.095	67.8883	37.5 	33	0
