Number	x	y	species	dbh	height	CL
93473	286.147	237.4	1	16.7	12.0 	5.0 
93481	362.944	222.303	1	4.7	6.0 	3.0 
93482	364.052	221.944	1	13	9.6 	4.0 
93483	369.171	222.583	1	12.9	11.1 	5.2 
93486	372.68	220.841	1	13.4	11.0 	5.1 
93489	379.966	224.984	1	9.9	12.3 	7.6 
93492	375.281	227.531	1	7.2	12.3 	7.3 
93501	362.819	227.239	1	13.1	12.0 	6.7 
93502	363.333	225.776	1	22.3	11.3 	7.1 
93503	362.128	225.385	1	8.3	7.1 	5.6 
93506	378.992	230.825	1	10.3	12.0 	8.0 
93509	379.399	232.804	1	13.4	11.1 	7.8 
93515	377.788	229.815	1	11	12.0 	8.8 
93518	373.468	232.93	1	9.7	9.8 	7.1 
93520	372.936	231.794	1	10.8	12.1 	7.1 
93522	366.935	232.872	1	26.3	10.6 	6.8 
93528	362.687	235.784	1	5	5.5 	3.2 
93529	366.972	236.001	1	8.8	9.7 	4.3 
93532	375.379	236.974	1	11.3	11.8 	8.1 
93533	375.057	234.044	1	17.8	11.2 	8.1 
93535	377.056	233.928	1	11.5	9.6 	5.7 
93539	379.013	238.23	1	10.8	13.5 	10.0 
93541	374.047	239.6	1	4.7	7.1 	6.5 
93546	363.703	237.685	1	8.3	8.3 	3.4 
93549	367.084	239.952	1	5.4	6.8 	3.1 
93613	313.304	267.021	1	12	12.5 	10.4 
93613.2	313.304	267.021	1	10	8.9 	5.3 
93618	319.388	266.222	1	11.9	11.7 	8.4 
93620	319.211	268.878	1	9.7	10.7 	9.6 
93632	309.644	268.685	1	10.4	12.4 	8.7 
93638	302.963	267.696	1	6.7	9.7 	8.1 
93656	319.454	273.784	1	7.7	5.4 	8.7 
93656.2	319.454	273.784	1	5.5	6.8 	4.6 
93669	319.738	204.922	1	14.1	12.1 	7.0 
93670	309.874	273.782	1	8.4	9.6 	6.3 
93673	313.365	207.113	1	11.2	9.6 	5.0 
93674	306.355	275.687	1	4.8	6.0 	2.0 
93682	305.492	278.84	1	6.7	7.6 	4.6 
93695	290.595	262.79	1	13.4	11.8 	9.4 
93699	297.296	266.76	1	9.5	8.7 	4.2 
93699	303.368	212.333	1	11.3	9.7 	6.8 
93699.2	297.296	266.76	1	7.4	7.7 	4.9 
93701	295.741	266.533	1	8.7	9.1 	7.9 
93701.2	295.741	266.533	1	7	7.5 	4.8 
93713	286.583	268.279	1	10.7	9.7 	6.8 
93713.2	286.583	268.279	1	9.8	8.8 	5.3 
93751	296.009	276.642	1	5.4	8.6 	7.9 
93765	263.301	263.086	1	10.9	9.3 	7.4 
93769	279.203	264.161	1	3	6.3 	3.4 
93769.2	279.203	264.161	1	2.7	5.5 	4.1 
93769.3	279.203	264.161	1	1.2	4.8 	3.8 
93776	263.875	264.682	1	9.9	12.1 	6.3 
93783	259.803	276.949	1	8.2	9.7 	7.1 
93783.2	259.803	276.949	1	7.5	7.7 	4.9 
93814	269.354	276.595	1	7.4	8.9 	7.3 
93830	268.244	280.939	1	2.5	5.8 	4.0 
93831	269.248	280.537	1	3.5	8.2 	7.1 
93836	275.112	281.07	1	3.7	6.1 	2.9 
93837	274.878	279.307	1	3.3	5.8 	4.7 
93846	244.973	262.881	1	3.2	5.2 	3.6 
93860	241.715	267.826	1	6.2	7.8 	6.8 
93869	246.396	270.424	1	7	11.3 	7.7 
93872	248.779	270.257	1	9.6	8.6 	6.3 
93873	252.586	269.135	1	6.6	11.4 	8.7 
93875	254.474	266.881	1	3.2	6.1 	3.9 
93878	258.762	268.955	1	4.6	4.6 	3.7 
93882	248.096	271.63	1	9.5	8.6 	7.8 
93885	244.643	272.08	1	7.5	8.6 	7.1 
93885.2	244.643	272.08	1	3.7	5.9 	4.3 
93893	244.428	274.736	1	9.2	8.6 	2.2 
93896	252.212	272.416	1	6.6	8.2 	7.6 
93897	253.596	272.779	1	5.3	8.1 	7.1 
93950	225.255	266.976	1	11	10.4 	6.8 
93950.2	225.255	266.976	1	7.5	7.7 	4.9 
93954	228.622	262.718	1	4.1	7.3 	4.6 
93962	232.117	266.723	1	2.8	4.6 	4.3 
93974	221.982	270.74	1	13.1	12.9 	11.4 
93974.2	221.982	270.74	1	8.7	8.3 	5.1 
93974.3	221.982	270.74	1	8.5	8.2 	5.1 
93978	221.192	275.082	1	11.7	8.7 	6.2 
93987	229.857	270.911	1	11.2	9.8 	7.6 
93992	232.976	270.476	1	4.5	9.5 	4.7 
94002	362.048	240.298	1	6.3	7.7 	4.3 
94007	370.286	242.142	1	6.8	9.7 	7.3 
94009	372.416	241.359	1	2.7	4.1 	3.8 
94011	374.266	240.613	1	12.6	11.4 	8.7 
94013	379.315	240.686	1	7.2	9.8 	7.4 
94014	379	241.75	1	12	10.6 	6.7 
94016	374.62	243.686	1	13.4	12.3 	7.4 
94027	366.309	245.669	1	14.9	8.7 	7.7 
94027.2	366.309	245.669	1	10.5	9.1 	5.4 
94029	363.017	244.036	1	6.9	8.5 	4.4 
94032	363.923	249.19	1	7.3	9.7 	7.1 
94035	366.875	250.364	1	4.2	5.6 	4.9 
94037	369.998	252.286	1	8.7	8.1 	7.6 
94038	370.312	251.96	1	9.8	8.7 	7.8 
94042	372.728	251.91	1	14.9	10.2 	8.8 
94042.2	372.728	251.91	1	10.9	9.3 	5.5 
