Number	x	y	species	dbh	height
3078	24.654	24.734	80	9.4	0
1764	64.408	48.048	32	9.5	0
1919	22.067	30.807	47	9.5	0
1977	57.613	65.771	56	9.5	0
2453	79.207	36.959	60	9.5	0
2737	43.018	62.449	61	9.5	0
2849	59.257	60.127	28	9.5	0
2874	93.41	50.338	28	9.5	0
2934	51.09	25.377	28	9.5	0
2977	59.748	11.916	28	9.5	0
3058	15.314	78.758	80	9.5	0
1766	34.583	45.391	32	9.6	0
1900	76.975	43.233	47	9.6	0
1918	57.601	32.626	47	9.6	0
2485	65.199	31.923	60	9.6	0
2870	33.605	52.875	28	9.6	0
3061	6	74.871	80	9.6	0
1726	78.975	28.248	22	9.7	0
1788	16.189	16.715	33	9.7	0
1797	4.074	31.689	34	9.7	0
2747	53.987	43.055	61	9.7	0
1875	19.734	65.046	47	9.8	0
1887	33.228	54.515	47	9.8	0
1911	88.329	36.708	47	9.8	0
1970	20.468	14.161	50	9.8	0
2720	74.764	73.338	61	9.8	0
2758	14.366	32.537	61	9.8	0
2770	25.984	21.291	61	9.8	0
2833	55.663	68.349	28	9.8	0
2868	83.543	53.132	28	9.8	0
2891	16.191	35.653	28	9.8	0
2944	68.646	22.265	28	9.8	0
1727	93.086	16.292	22	9.9	0
1838	77.9	22.115	44	9.9	0
1990	97.636	41.438	56	9.9	0
2970	68.342	13.996	28	9.9	0
2010	99.725	31.904	56	10	0
2035	88.122	10.681	56	10	0
2538	71.319	24.532	60	10	0
3026	69.092	14.318	70	10	0
1867	73.95	69.657	47	10.1	0
2002	73.886	37.94	56	10.1	0
2730	15.84	67.374	61	10.1	0
1978	57.605	60.078	56	10.2	0
2137	71.439	68.949	60	10.2	0
2746	42.135	46.399	61	10.2	0
2748	17.634	41.641	61	10.2	0
2791	52.024	12.024	61	10.2	0
2796	25.068	10.82	61	10.2	0
2830	72.428	70.007	28	10.2	0
2857	40.163	57.056	28	10.2	0
2904	81.496	31.353	28	10.2	0
1762	69.597	52.5	32	10.3	0
1971	25.271	48.194	52	10.3	0
2586	80.197	17.211	60	10.3	0
3015	30.902	68.02	70	10.3	0
3085	47.532	6.881	80	10.3	0
1905	93.347	40.777	47	10.4	0
2147	19.608	68.128	60	10.4	0
2860	36.022	56.404	28	10.4	0
2951	85.902	20.962	28	10.4	0
2952	15.892	20.903	28	10.4	0
2965	40.661	15.932	28	10.4	0
1692	22.492	62.867	13	10.5	0
1833	84.968	27.867	44	10.5	0
1853	41.172	77.176	47	10.5	0
1947	4.539	14.516	47	10.5	0
2641	40.682	8.65	60	10.5	0
2908	52.341	30.432	28	10.5	0
3025	54.441	14.601	70	10.5	0
3029	48.987	9.55	70	10.5	0
1672	23.394	76.015	2	10.6	0
1870	18.215	67.239	47	10.6	0
1889	77.756	54.21	47	10.6	0
1948	8.678	13.869	47	10.6	0
2006	90.23	34.169	56	10.6	0
2757	21.737	34.788	61	10.6	0
2887	58.037	37.13	28	10.6	0
3011	25.131	9.074	69	10.6	0
3033	64.363	17.874	73	10.6	0
1826	84.867	28.574	44	10.7	0
1864	19.762	70.517	47	10.7	0
1949	85.552	13.156	47	10.7	0
2946	61.47	21.94	28	10.7	0
2966	46.195	15.114	28	10.7	0
1760	6.603	62.75	32	10.8	0
2037	82.807	8.828	56	10.8	0
2716	10.731	77.318	61	10.8	0
2718	92.706	74.195	61	10.8	0
2735	61.082	63.839	61	10.8	0
2813	21.728	3.343	61	10.8	0
3049	3.51	12.691	75	10.8	0
1945	33.26	14.928	47	10.9	0
2016	98.332	25.921	56	10.9	0
2264	29.366	57.289	60	10.9	0
2363	66.858	48.363	60	10.9	0
1676	67.703	49.745	6	11	0
1768	64.032	44.51	32	11	0
2023	64.171	22.238	56	11	0
2606	48.602	14.194	60	11	0
2766	57.314	26.163	61	11	0
2817	74.994	1.895	61	11	0
1916	81.857	33.337	47	11.1	0
2046	99.566	2.649	56	11.1	0
2751	7.772	38.267	61	11.1	0
1791	83.939	6.945	33	11.2	0
1912	36.968	34.436	47	11.2	0
2899	38.853	32.231	28	11.2	0
1886	2.537	55.738	47	11.3	0
1891	87.362	49.486	47	11.3	0
1950	83.392	12.155	47	11.3	0
2228	48.91	60.481	60	11.3	0
1801	24.602	56.673	36	11.4	0
1835	85.054	27.683	44	11.4	0
2240	91.234	59.231	60	11.4	0
2419	59.891	41.624	60	11.4	0
1734	96.8	55.006	29	11.5	0
1798	24.288	27.848	34	11.5	0
1814	68.721	19	38	11.5	0
1832	85.507	27.875	44	11.5	0
1928	19.952	26.915	47	11.5	0
2375	82.083	46.845	60	11.5	0
2787	26.479	13.495	61	11.5	0
1943	57.957	16.628	47	11.6	0
1944	20.59	15.413	47	11.6	0
2044	91.615	3.096	56	11.6	0
2515	76.209	27.806	60	11.6	0
2612	85.431	13.674	60	11.6	0
3077	24.836	24.887	80	11.6	0
1697	29.593	9.148	15	11.7	0
2019	68.031	25.11	56	11.7	0
2054	26.894	77.333	58	11.7	0
2441	0.774	38.793	60	11.7	0
2445	56.557	38.432	60	11.7	0
2501	75.695	29.622	60	11.7	0
2820	9.304	0.511	61	11.7	0
3005	75.191	32.031	68	11.7	0
1839	75.591	22.1	44	11.8	0
2003	70.242	35.561	56	11.8	0
2784	42.783	15.157	61	11.8	0
2949	20.576	21.485	28	11.8	0
1675	68.547	50.1	6	11.9	0
1755	78.759	69.141	32	11.9	0
2837	78.043	65.254	28	11.9	0
3073	2.637	37.809	80	11.9	0
2022	64.135	22.506	56	12	0
2048	61.738	1.63	56	12	0
2150	68.65	67.646	60	12	0
2295	89.142	54.65	60	12	0
2919	47.486	28.324	28	12	0
3012	18.35	6.513	69	12	0
1718	64.679	6.847	20	12.1	0
1885	13.941	55.976	47	12.1	0
2039	84.106	8.235	56	12.1	0
1800	70.93	16.867	34	12.2	0
1876	94.099	64.009	47	12.2	0
2792	16.208	11.423	61	12.2	0
1698	39.087	7.274	15	12.3	0
1699	49.548	48.804	18	12.3	0
1803	41.52	42.083	36	12.3	0
1829	84.583	28.302	44	12.3	0
1837	75.81	22.231	44	12.3	0
1842	98.297	21.892	44	12.3	0
2576	89.977	18.312	60	12.3	0
1821	67.34	10.384	42	12.4	0
2331	24.882	51.747	60	12.4	0
2577	1.14	18.187	60	12.4	0
1822	69.131	43.092	43	12.5	0
1930	64.062	26.058	47	12.5	0
2173	70.229	65.303	60	12.5	0
2475	77.273	33.474	60	12.5	0
3009	45.488	29.742	69	12.5	0
1898	6.128	43.943	47	12.6	0
2345	32.426	49.964	60	12.6	0
2590	40.668	16.778	60	12.6	0
1851	77.684	78.13	47	12.7	0
1927	58.015	27.286	47	12.7	0
2142	6.253	68.604	60	12.7	0
2551	66.656	22.057	60	12.7	0
2836	52.114	66.122	28	12.7	0
3051	28.271	8.666	75	12.7	0
2032	50.064	14.423	56	12.8	0
2033	99.182	12.922	56	12.8	0
2252	87.645	58.278	60	12.8	0
2809	24.806	4.951	61	12.8	0
1843	77.658	21.728	44	12.9	0
2553	89.108	21.564	60	12.9	0
2719	87.445	73.541	61	12.9	0
2935	74.806	24.893	28	12.9	0
1882	21.611	57.469	47	13	0
2513	88.002	27.946	60	13	0
2557	84.532	21.358	60	13	0
1855	31.969	76.166	47	13.1	0
1962	47.307	2.241	47	13.1	0
1724	81.156	29.12	22	13.2	0
1765	14.809	46.553	32	13.2	0
1869	14.289	67.875	47	13.2	0
1917	72.56	33.031	47	13.2	0
2041	56.17	6.327	56	13.2	0
2119	9.468	71.236	60	13.2	0
2492	83.073	30.946	60	13.2	0
2571	53.349	18.55	60	13.2	0
2726	27.89	69.932	61	13.2	0
2729	85.737	67.697	61	13.2	0
3072	70.134	40.758	80	13.2	0
2829	31.379	70.598	28	13.3	0
1805	63.253	33.816	36	13.4	0
1914	17.536	33.87	47	13.5	0
1921	36.168	29.319	47	13.5	0
2165	60.205	66.392	60	13.5	0
2290	61.505	55.103	60	13.5	0
2471	83.9	34.365	60	13.5	0
2693	12.808	2.209	60	13.5	0
2761	9.705	31.552	61	13.5	0
1810	0.513	0.394	36	13.6	0
1854	80.524	77.114	47	13.6	0
1880	32.048	58.969	47	13.6	0
2727	32.488	68.79	61	13.6	0
3066	9.077	62.176	80	13.6	0
3074	35.83	37.77	80	13.6	0
3082	77.001	17.243	80	13.6	0
2118	27.406	71.331	60	13.7	0
2529	82.079	25.7	60	13.7	0
2655	83.411	7.022	60	13.7	0
2808	72.356	5.367	61	13.7	0
1896	86.21	44.987	47	13.8	0
2457	76.81	36.663	60	13.8	0
2526	77.787	26.277	60	13.8	0
2734	44.349	64.715	61	13.8	0
2387	57.953	45.547	60	13.9	0
2458	68.281	36.661	60	13.9	0
2505	95.171	29.211	60	13.9	0
1671	34.241	31.26	1	14	0
1785	5.585	35.74	33	14	0
